T: Protein IDs	FF_W2_1	FF_W2_2	FF_W2_3	FF_W2_5	FF_W2_6	FF_W2_7	FF_W2_8	FFPE_W2_1	FFPE_W2_2	FFPE_W2_3	FFPE_W2_5	FFPE_W2_6	FFPE_W2_7	FFPE_W2_8	FFPE_E878	FFPE__872	FFPE__875	FFPE__876	FFPE__877	FFPE__879	GS50	GS51	GS52	GS53	GS54
A0JP43	NaN	NaN	NaN	NaN	NaN	-0.680505	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.425498	0.761328	NaN	NaN	0.344676	NaN	NaN	NaN	NaN	NaN	NaN
A2A432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.306911	0.414881	-0.338102	0.187973	-0.571663
A2A5R2	0.251222	-0.818879	NaN	0.199363	NaN	0.368295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A690	0.165216	NaN	NaN	NaN	0.0278275	NaN	-0.193043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2A8Z1	NaN	-0.071119	0.639689	-0.00510943	-1.83183	NaN	-0.0985638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ADY9	-0.47087	-0.0896503	NaN	0.0104455	NaN	-0.424413	-0.271573	0.0674466	0.28815	0.23622	0.585666	0.0655869	-0.148393	0.388282	-0.271152	0.142674	-0.637899	-0.764861	-0.724282	NaN	-0.0755016	0.577048	0.554084	0.649188	NaN
A2AG50	0.105955	-0.669231	0.0674477	-0.011095	-1.35743	0.289082	-1.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.457529	1.64457	0.0683918	1.65584
A2AGT5	1.81535	1.74223	0.959176	1.23899	1.59226	1.95471	1.28236	-0.629518	-0.834505	-0.568325	-0.510829	-0.445691	-0.417348	-1.00071	-2.46799	-2.69726	NaN	NaN	NaN	-3.08395	0.900183	1.09935	1.23999	1.12064	-0.120914
A2AHC3	0.384739	NaN	NaN	0.133204	NaN	0.113078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.631021
A2AJA9	0.12299	NaN	NaN	NaN	-0.560186	0.737942	-0.300746	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AJI0	0.0144516	-0.127835	0.330295	0.155805	-0.453402	-0.35043	0.0187336	-0.82466	-0.935122	-0.509598	-0.373062	-0.870703	-0.567152	-0.722311	-0.136231	0.869228	0.436115	0.24403	0.595108	1.18884	0.0563122	0.365333	1.17082	0.246372	0.364532
A2ALS5	0.923321	-1.20257	-0.19429	-0.658227	NaN	1.74217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.300099	NaN	NaN	NaN	NaN	-0.0439563	NaN	NaN	0.0229383	-0.991971	0.10248
A2ALU4	-1.43164	NaN	-0.58868	-0.0103793	NaN	-1.93918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.406355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.825487	1.18836	3.20065
A2AN08	-1.11448	-0.685307	-0.693909	0.211693	-0.53776	-0.934496	-0.685905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.738609	-0.841064	-0.878641	NaN	NaN	1.4452	0.996429	1.20958	1.16737	0.60268
A2APB8	NaN	2.61843	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.30514	-0.313283	NaN	NaN	NaN
A2APV2	-0.375633	0.0508125	0.444806	-0.293506	NaN	-0.0568478	0.230368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2AR02	-1.24404	-0.142236	-0.471699	-0.514243	NaN	-0.867934	-0.488852	NaN	0.581458	NaN	0.520892	0.902507	0.786996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.536105	NaN	NaN	NaN	NaN
A2ARZ3	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"A2ASI5;A2APX8;Q9ER60;Q62205"	-0.384163	NaN	NaN	NaN	NaN	0.384163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2ASQ1	0.127781	-0.415367	-0.155475	0.229748	-0.131126	NaN	0.695099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0851405	0.0333216	-0.184326	NaN	-0.284796
A2ASS6	-0.217505	0.771711	0.88524	-0.0337164	0.0873545	-0.165615	0.513618	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.232661	NaN	-0.953285	-0.481785	0.0873545	-1.05142	0.422106	-0.150315	0.0705183	0.285637	0.232506
A2ASZ8	NaN	-0.802849	NaN	NaN	-0.742211	1.37034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0672109	NaN	0.737795	-0.630289
A2AWA9	0.486814	-0.00939775	0.290207	-0.0346816	NaN	0.498943	0.625162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.40369	-2.11202	NaN	NaN	NaN	NaN	0.584877	0.048702	1.00232	0.606806	0.415958
A2BH40	-1.22821	-0.884961	-1.05447	-1.20192	-0.357653	NaN	-0.728821	NaN	0.659832	-0.641787	-0.714365	0.113197	-1.59961	0.0348125	0.473634	1.31853	0.750927	1.42471	0.211057	-0.073029	1.2653	1.39793	0.63499	0.624723	-0.698038
A2RT62	-0.672897	NaN	-0.443908	-0.139528	0.729304	0.427495	-0.533334	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2RTL5	-0.811817	0.894251	0.454302	-0.0891154	NaN	NaN	0.621713	NaN	NaN	-1.43758	NaN	NaN	-0.949471	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.655914	0.747156	0.75184	0.189943	-0.448183
A6H5Z3	-0.0779798	0.21241	-0.526304	0.0397456	0.411068	0.101343	-0.160284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6H6E9	NaN	NaN	-0.477495	0.0293045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.448191	NaN	NaN	NaN
B0V2N1	-0.442926	-0.143303	0.34891	0.0301555	0.545925	-0.407629	0.0837501	NaN	-0.26643	NaN	NaN	0.329884	0.20681	-0.580711	-0.881065	-0.848945	-1.15769	-1.01198	NaN	NaN	0.842001	0.603306	0.88303	0.901356	0.916727
B1AXV0	0.357945	NaN	NaN	NaN	-0.605523	1.33178	-0.479644	NaN	NaN	NaN	NaN	NaN	-0.604558	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
B1AZP2	-0.00654709	0.141347	0.153462	-0.432403	NaN	-0.138129	NaN	NaN	NaN	-0.894895	-0.557515	NaN	NaN	-0.988958	0.0182713	NaN	-0.659934	-0.376451	NaN	NaN	0.786252	1.18079	1.31478	1.08216	0.846619
B2RPU2	-0.779184	0.308896	0.194636	0.0130641	NaN	0.262587	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
B2RQC6	-0.872608	1.85007	0.92347	1.38393	0.965758	-0.62326	1.57834	-2.20557	0.851193	0.854769	0.373915	1.08455	-1.22954	0.804346	-0.585397	0.833281	-1.80464	-0.436149	-2.90185	-4.70431	2.08083	1.6528	0.574808	1.18889	-1.52333
B2RRE7	NaN	-0.305823	NaN	NaN	0.359338	-0.0535154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"B2RSH2;P20612;Q3V3I2;P50149"	1.26668	0.830987	0.766814	1.13676	0.459512	1.54422	0.528876	0.238427	NaN	-0.573194	-0.159934	-2.0377	-0.868077	-2.07307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
B2RUJ5	0.448993	-0.516587	0.0153213	0.530374	NaN	0.517267	NaN	-0.0449185	NaN	NaN	0.241853	-0.58199	0.374908	-1.09867	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
B2RXC1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN
B2RXS4	-0.608094	0.94689	0.869871	0.483276	0.158653	-0.836519	0.895496	0.196544	-0.166596	-0.514694	-0.243843	-0.0362666	-0.587466	-0.173374	-0.0435965	1.27123	0.758301	1.10262	-0.519186	-0.747439	NaN	NaN	NaN	NaN	NaN
B2RY56	NaN	-1.82653	NaN	-2.53849	NaN	-2.26544	-2.11739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40439	-0.667006	0.933831	NaN	NaN	2.83317	2.34201	1.39483	1.74766	-0.24104
B9EJ86	0.486904	0.0480113	0.447116	0.897205	-0.057425	0.280025	-0.128561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.946513	NaN	NaN	-1.02676	NaN
B9EJA2	0.910272	-0.0845227	-0.141964	0.209566	NaN	0.600557	0.128808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.796008	NaN	-0.826708
B9EKR1	1.98571	0.377196	1.04814	0.721186	0.316414	1.81355	0.258122	-1.32176	-1.85102	NaN	-2.24194	-1.87056	-1.9504	-2.10871	0.492785	-0.238754	NaN	-0.550481	0.333954	-0.258256	0.760767	0.547163	2.11524	1.56297	2.68374
"C0HKD9;C0HKD8"	-0.260037	1.17836	0.531269	0.134935	1.0545	-0.845896	0.320938	-0.5886	-1.27724	-0.886851	-0.377886	-0.36254	-0.880328	0.158111	NaN	NaN	NaN	NaN	NaN	NaN	0.865013	1.64394	1.21878	0.304664	-1.00701
"C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8R1M2;Q8CGP7;Q8CGP5;Q8BFU2"	-0.137397	0.386111	-0.0307016	0.215318	0.108195	-0.546754	0.61313	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
D3YVF0	-0.205171	0.020888	0.592383	0.249541	-0.623464	-1.12142	-0.920539	NaN	NaN	-1.5562	-1.88809	NaN	NaN	NaN	-0.0337728	0.206641	NaN	0.450539	-0.987199	-0.204225	NaN	0.864697	2.21289	1.06128	1.88122
"D3YXK2;Q80YR5"	-0.152157	0.644348	0.203239	0.0221422	0.224499	-0.462506	0.395447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0206149	-0.0653861	0.678465	0.00135016	-0.546339	-0.276007	NaN	NaN	NaN	NaN	NaN
D3YYU8	-1.91568	-1.16239	-1.08472	-1.56379	0.685902	-1.32057	-0.237048	0.611491	0.305915	-0.206819	0.814206	1.08752	1.98462	1.548	0.701342	NaN	-1.65781	-1.51181	1.73888	0.917823	NaN	NaN	NaN	NaN	NaN
D3YZP9	0.251547	-0.0984209	0.266323	0.032202	-0.22072	-0.18252	0.283299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.331711	NaN
D3YZU1	0.998107	0.29766	-0.0919908	0.56956	0.566861	1.47952	0.690781	0.222727	NaN	NaN	NaN	NaN	0.300017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.2633	-2.42357	NaN
D3Z4S3	NaN	1.10233	NaN	1.22988	1.44509	1.15782	1.32761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.33219	NaN	NaN	-1.70076	-2.22977	NaN	NaN	NaN	NaN	NaN	NaN
D3Z7P3	2.31884	1.05943	1.00249	1.79674	0.549947	2.82298	0.693038	-0.588266	NaN	-1.6881	-0.742721	-2.63709	-0.755782	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.412515	-0.319997	-0.792764	0.369399	-0.100219
E1U8D0	-0.225928	-0.168202	0.501729	0.0523405	NaN	NaN	0.229157	NaN	0.290856	-0.576797	-0.459411	0.616879	-0.887816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.473203	0.369241	0.0198259	-0.0106516	-0.0873842
E9PUL5	1.61835	-0.454019	0.692996	0.543961	-1.17674	1.17873	-0.697034	0.287543	NaN	-0.77596	-0.156221	-2.15264	1.30421	NaN	0.983758	-0.0199291	-1.16116	-0.0428077	1.26909	1.06232	-2.12395	-1.05953	1.52593	0.872512	1.74675
E9PV24	-0.487277	NaN	-0.439313	-0.253049	NaN	-0.325372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35505	0.45436	NaN	0.695601	NaN
E9PVA8	-0.261942	0.766548	0.759098	0.920346	0.604672	0.222834	0.351561	-1.75408	-0.22878	-0.0668695	-0.273414	-0.0525853	-1.6219	0.0901854	NaN	NaN	NaN	NaN	NaN	NaN	1.31572	0.488394	0.34722	0.15815	-0.918029
E9PVD3	NaN	-1.78178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0907356	2.06678	2.37047	0.650531	NaN	-1.76517	-1.63157	NaN	NaN	NaN	NaN
E9PVX6	NaN	2.18086	0.494124	0.376294	0.563492	-2.30723	0.911715	-1.12182	0.834011	0.0341286	-0.374487	1.5897	-1.03404	0.000772864	NaN	-2.55106	NaN	NaN	NaN	NaN	3.03379	2.54699	-1.23025	-0.754156	-2.56342
E9PZQ0	-0.0846455	-0.638517	0.61934	0.119574	-0.797483	-0.966644	-0.0199902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9Q1P8	-1.20324	-0.574646	NaN	NaN	NaN	NaN	-0.209358	NaN	1.2024	NaN	NaN	-0.178905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.340038	0.667624	NaN	NaN	NaN
E9Q3L2	-0.296164	0.0421576	0.364662	-0.298745	NaN	0.188089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9Q4N7	-1.94312	NaN	NaN	-1.50307	NaN	-2.16264	-1.25884	NaN	0.472874	0.124718	NaN	0.150507	0.238472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.02676	1.66544	1.22819	1.0092	0.182678
E9Q555	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9Q5C9	-2.57361	0.621875	0.103879	-0.363589	0.204435	-2.728	1.60994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.07761	0.0373396	-0.130976	0.312471	NaN	NaN	2.21129	2.18671	1.32555	0.733047	0.111169
E9Q5M6	-0.0140591	-0.0334091	-0.45521	-0.110788	0.613466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9Q6J5	-0.838996	0.193925	NaN	-0.279079	-0.623254	NaN	-0.0349705	NaN	-0.19383	NaN	NaN	NaN	1.53779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9Q6P5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E9Q7G0	-0.312059	0.972386	-0.294288	-0.117935	-0.350601	-0.878692	0.212018	-1.42762	1.07506	0.698121	0.219548	1.17608	-1.64432	1.04352	NaN	-3.19427	NaN	NaN	NaN	NaN	2.05295	2.22281	0.918818	1.08625	-1.15805
E9Q8I9	0.623649	NaN	NaN	NaN	NaN	1.47566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.01059	-0.28189	-0.0110159	-0.79581
E9QAT4	-0.555968	0.444858	NaN	NaN	1.1113	-1.76667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.101686	0.314941	0.579397	-0.229546	NaN
F6SEU4	-0.30634	-0.16915	NaN	-0.292315	NaN	0.767805	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
F6YCR7	NaN	0.42621	NaN	-0.387911	-0.733419	NaN	0.69512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
F6ZDS4	0.239445	1.11476	0.389444	0.382546	0.090891	-0.515104	0.974503	-0.192427	0.156658	-0.0494136	-0.166923	0.524958	-0.439924	0.330126	NaN	-1.73213	-1.32794	-1.97546	-1.61473	NaN	2.13918	2.29149	1.62632	1.29606	0.276655
F8VPU2	0.518547	0.0780387	0.218704	0.135171	0.653825	0.455583	0.188207	-0.301367	NaN	NaN	0.251253	-0.565238	-0.560833	NaN	-0.389307	0.149461	-0.21234	-0.592785	-0.651494	-0.903969	0.218639	0.568445	0.510807	0.287656	0.342416
G5E829	1.76288	1.03303	1.07064	1.05014	0.859958	1.71406	0.821517	0.0990688	-3.32737	-0.845879	-0.60435	-2.21615	-0.0321873	NaN	-0.00460136	-0.597476	-1.3217	-1.10516	-1.08027	-0.802266	0.0103465	0.242919	2.01248	1.46243	1.62972
G5E870	NaN	-1.19823	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.914902	0.398152	-0.155502	0.324463	-0.283786
G5E8K5	1.00501	0.274697	0.275147	0.567057	0.649554	1.04939	0.1113	-2.25458	-2.43957	NaN	NaN	-0.549928	-1.23975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.383023	0.250361	0.761238	0.763054	0.393994
O08528	-0.104171	1.40028	0.181209	0.592135	0.809104	NaN	0.595107	NaN	-0.325328	-0.161199	-0.295711	-0.251502	NaN	0.0765696	NaN	0.198041	NaN	-0.920535	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08529	1.8712	1.8684	1.55289	1.71482	1.56835	1.95419	1.48651	-0.968523	-1.58656	-1.51684	-0.204984	-0.994802	-1.40534	-1.17088	-0.224037	-0.192488	-1.00216	-1.21265	-0.397438	-0.707777	0.469641	0.463721	0.613238	0.758702	0.576498
O08532	0.793465	1.01045	1.10595	0.679528	1.21412	0.817838	0.345755	-1.33273	-2.26495	NaN	-1.27325	-1.38128	-0.987571	-2.29708	0.214974	0.186135	0.801541	0.475198	-0.0685378	0.405726	0.639489	0.857367	1.09954	0.674521	1.3924
"O08539;D3Z6Q9"	0.648028	0.48259	0.488066	0.562934	-0.0490391	0.784827	0.413415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.124883	-0.352859	-0.84319	-0.593086	-0.613237	-0.391725	NaN	NaN	NaN	NaN	NaN
O08547	0.851192	0.605898	0.605564	0.702568	0.695524	1.13664	0.674376	0.206499	-0.500883	0.308083	0.561077	-0.0737324	-0.0191669	0.0489979	-0.166641	-0.161501	-1.69959	-0.0660534	-1.16851	-1.13613	-0.452553	-0.435528	-0.0637074	0.330975	-0.242615
O08553	0.204669	-0.119197	0.131028	0.200713	0.117787	0.445485	-0.164704	0.588756	-0.445474	-0.0626383	0.359221	-0.0611544	0.719892	-0.71947	0.72368	-0.384049	-0.931849	-0.660674	0.281573	0.142512	-0.532676	-0.364469	0.261977	0.354264	0.551017
O08576	-0.136178	NaN	NaN	NaN	-0.0751545	0.211333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08579	0.00480419	1.27139	0.723789	0.687116	0.738224	-0.432335	1.38019	-1.09598	-0.747397	-0.677592	-0.916914	0.442182	-0.899722	-0.922371	NaN	NaN	-2.15399	-1.8577	NaN	-2.52169	1.77142	1.80236	1.66762	1.10289	0.794584
O08582	0.320926	0.623802	0.490528	0.35667	0.534786	0.295869	0.550474	-1.1394	-0.660014	-0.838046	-0.762909	-0.246165	-1.29861	-0.275393	0.11996	0.578447	0.45148	0.0721926	-0.668934	-0.434798	0.931222	0.971885	0.457216	0.90526	NaN
"O08583;Q9JJW6"	-0.116864	1.01111	0.265183	0.22107	0.485301	-0.73607	0.763331	-0.290269	0.29268	-0.0580266	0.00974536	0.663213	-0.478566	0.311478	-0.0801537	-0.110963	0.0750949	-0.587049	-0.504775	-0.920518	0.0264022	0.724208	0.757178	0.0605724	-0.744828
O08585	1.14583	0.866004	0.973859	0.556991	1.38738	0.922637	0.5379	-0.602706	-2.163	NaN	-1.42136	-1.82291	-1.11596	-1.86682	-0.0749766	0.527532	-1.22364	0.467273	-0.615708	-1.06905	0.535175	0.675754	2.04036	1.00979	1.45827
O08586	-0.109581	NaN	NaN	NaN	NaN	0.0730078	-0.73287	0.475739	-0.449568	NaN	NaN	-0.489919	1.33931	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.106117
"O08599;Q64324"	0.859262	-0.598477	0.107974	0.146768	-0.1233	1.09645	-0.747283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08600	NaN	NaN	-0.524028	-0.445754	NaN	0.969783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08663	-0.0141056	1.05359	0.368472	0.680785	0.610673	-0.106423	0.821815	NaN	-1.25632	-0.259343	-1.13264	-1.17678	NaN	-0.0436943	0.0819981	1.28292	0.133079	0.739307	-0.374894	-0.766402	1.18837	1.02699	0.0481217	0.433675	-0.669198
O08709	0.437198	1.29314	0.737951	1.22473	1.16865	0.679132	1.21895	-2.23729	-2.28974	-0.217234	-0.185807	-1.58939	-3.01325	-0.500571	0.203197	0.284572	-0.190243	-0.0319219	-0.579178	-1.01327	1.61368	1.79063	1.39202	1.14304	0.91646
O08715	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08739	NaN	NaN	NaN	NaN	NaN	-0.526235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.075711	0.164319	-0.276675	0.570504	-0.00762296
O08740	-0.947836	0.420285	-0.779941	-0.640013	NaN	NaN	-0.446783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.638071	0.990696	0.875569	-0.110048	NaN
O08749	1.24501	1.17365	1.06031	1.3515	1.12856	1.79903	0.924599	0.634854	-0.880796	0.280932	0.48034	-0.0266068	0.586436	-0.41896	-0.973949	-1.99474	-2.61023	-2.53975	-2.27745	-2.65299	-0.00721097	0.602153	0.860444	1.32615	0.542842
O08756	1.45212	1.58179	1.45954	1.83167	0.92021	1.73732	1.59606	-1.84579	NaN	-1.5204	-1.67491	-0.997732	NaN	-1.61573	NaN	NaN	NaN	NaN	NaN	NaN	-0.271543	-0.67791	-0.658811	-0.104393	-1.39968
O08759	-0.0399309	0.85365	0.905122	0.843063	0.0928854	0.37309	0.682466	-1.44115	-1.46455	-1.68166	NaN	-1.11362	NaN	-1.45275	-1.01753	-1.01003	NaN	NaN	NaN	NaN	1.45789	1.24735	1.46431	1.51068	1.25746
O08784	NaN	1.07491	0.16724	-0.591443	-0.586545	-2.77209	0.19618	-1.78031	0.105501	-1.2299	NaN	-0.108719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.97017	2.08569	1.62669	0.883251	-0.0145898
O08788	1.08732	1.14477	1.18327	1.28645	1.10372	1.43441	1.11892	-0.255936	-1.6208	-0.121739	0.133949	-0.178435	-0.494185	-0.38926	-1.34675	-2.21867	NaN	-2.86682	-2.83084	-4.07234	1.38861	1.17986	1.595	1.63079	1.17964
"O08791;Q07802;Q8K4J2"	NaN	-0.11628	0.161077	0.289873	0.596247	-1.42536	0.494446	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08795	0.249203	0.621438	0.334958	0.279503	0.325327	-0.0725188	0.738656	-0.571306	-0.756099	-0.945873	-0.612836	-0.369123	-0.887889	-0.718814	-0.124719	-0.10235	-0.512609	-0.255956	-0.221807	-0.0812373	1.02554	1.20198	1.17664	0.75215	0.449982
O08807	-0.484224	0.466046	0.0113778	0.68051	0.920983	-0.432935	0.122422	-1.30438	-0.573188	-0.619171	-0.335931	0.160639	-1.17008	-0.386268	-0.0601764	0.725691	1.25349	0.447173	-1.66352	-0.982637	1.43706	1.29278	0.748654	0.407237	-0.431118
O08808	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O08810	0.248925	0.732602	-0.510541	0.305552	-0.208657	-0.917693	0.39638	-1.05191	0.261231	0.373422	-0.453141	0.347333	-3.38803	0.152781	NaN	NaN	NaN	NaN	NaN	NaN	2.01052	1.94602	1.29012	1.60912	0.491155
O08848	-0.708328	-0.0182241	0.339318	-0.317582	0.114423	-0.00023967	-0.0485681	NaN	-0.18976	-0.288251	-0.533809	-0.178415	-0.661769	0.0681998	1.01501	0.485848	NaN	0.586695	0.351798	-0.364457	0.510619	0.169078	0.0438353	0.165772	-0.541196
O08915	-1.38922	-1.30902	NaN	-0.803571	-0.573865	-1.08322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.481984	-0.491696	-0.594474	-0.977475	-1.07458	-0.590537	2.74389	2.64836	2.15201	2.34058	1.45608
O08917	1.03633	0.632542	1.04086	0.996899	0.164336	0.00263822	0.699837	NaN	-0.563764	0.00749433	-0.265104	-0.342312	-0.137306	-0.581009	-0.966589	-0.370523	-2.00316	-1.59541	NaN	NaN	-0.074905	0.20389	0.59577	0.634014	0.923045
